Filename                                                                Regions    Missed_Regions     Regions_Cover   Functions  Missed_Functions  Executed       Lines      Missed_Lines     Lines_Cover    Branches   Missed_Branches     Branches_Cover
lib/Backend/JITTimeFunctionBody.h                                            92                92     0.00%           2                 2     0.00%          32                32     0.00%          20                20     0.00%
lib/Backend/JITTimePolymorphicInlineCache.cpp                                 6                 3    50.00%           4                 1    75.00%          12                 3    75.00%           0                 0         -
lib/Backend/JITTimePolymorphicInlineCacheInfo.cpp                            91                40    56.04%           6                 1    83.33%          67                 6    91.04%          26                10    61.54%
lib/Backend/JITTimeProfileInfo.cpp                                          601               264    56.07%          63                 6    90.48%         422                26    93.84%         192                90    53.12%
lib/Backend/JITTimeWorkItem.cpp                                             257               176    31.52%          20                 1    95.00%         112                19    83.04%          74                53    28.38%
lib/Backend/JITType.cpp                                                      60                19    68.33%          20                 3    85.00%          88                11    87.50%          28                10    64.29%
lib/Backend/JITType.h                                                         2                 0   100.00%           2                 0   100.00%           2                 0   100.00%           0                 0         -
lib/Backend/JITTypeHandler.cpp                                               54                30    44.44%           9                 1    88.89%          39                 7    82.05%          18                12    33.33%
lib/Backend/JavascriptNativeOperators.cpp                                   446               298    33.18%          27                18    33.33%         327               203    37.92%         152               100    34.21%
lib/Backend/JavascriptNativeOperators.h                                      77                77     0.00%           9                 9     0.00%          73                73     0.00%          24                24     0.00%
lib/Backend/JitTransferData.cpp                                              82                43    47.56%           5                 1    80.00%          88                35    60.23%          40                23    42.50%
lib/Backend/JitTransferData.h                                                19                 3    84.21%          13                 2    84.62%          27                 5    81.48%           4                 1    75.00%
lib/Backend/JnHelperMethod.cpp                                             8197              4970    39.37%          11                 4    63.64%         223               171    23.32%        1714              1287    24.91%
lib/Backend/Lifetime.h                                                      184                95    48.37%           7                 0   100.00%          82                 4    95.12%          56                23    58.93%
lib/Backend/LinearScan.cpp                                                 6660              3490    47.60%         114                 9    92.11%        3796               677    82.17%        2506              1116    55.47%
lib/Backend/LinearScan.h                                                      5                 0   100.00%           5                 0   100.00%           7                 0   100.00%           0                 0         -
lib/Backend/LinearScanMDShared.h                                              1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
lib/Backend/Lower.cpp                                                     27565             18248    33.80%         533               156    70.73%       19526              7486    61.66%       11116              6547    41.10%
lib/Backend/Lower.h                                                          17                 4    76.47%          10                 1    90.00%          35                 3    91.43%           8                 6    25.00%
lib/Backend/LowerMDShared.cpp                                              8221              5888    28.38%         170                55    67.65%        5086              2333    54.13%        3232              2109    34.75%
lib/Backend/LowerMDShared.h                                                  18                 8    55.56%          18                 8    55.56%          25                12    52.00%           0                 0         -
lib/Backend/LowerMDSharedSimd128.cpp                                       9537              7379    22.63%          52                51     1.92%        2398              2251     6.13%        2730              2586     5.27%
lib/Backend/NativeCodeData.cpp                                              328               282    14.02%          15                 7    53.33%         228               154    32.46%          94                82    12.77%
lib/Backend/NativeCodeData.h                                                 67                56    16.42%          16                 8    50.00%          79                50    36.71%          20                17    15.00%
lib/Backend/NativeCodeGenerator.cpp                                        3818              2398    37.19%          79                25    68.35%        2794              1242    55.55%        1566              1023    34.67%
lib/Backend/NativeCodeGenerator.h                                           116                75    35.34%          19                 8    57.89%          87                41    52.87%          32                23    28.12%
lib/Backend/NativeEntryPointData.cpp                                        990               716    27.68%          45                19    57.78%         376               115    69.41%         256               176    31.25%
lib/Backend/NativeEntryPointData.h                                           22                 6    72.73%          19                 3    84.21%          19                 3    84.21%           2                 2     0.00%
lib/Backend/ObjTypeSpecFldInfo.cpp                                         1601               921    42.47%          56                16    71.43%         901               299    66.81%         608               354    41.78%
lib/Backend/ObjTypeSpecFldInfo.h                                             76                49    35.53%          13                 5    61.54%         102                32    68.63%          32                19    40.62%
lib/Backend/Opnd.cpp                                                       3591              2641    26.46%         183                69    62.30%        2560              1539    39.88%        1464              1076    26.50%
