Filename                                                                Regions    Missed_Regions     Regions_Cover   Functions  Missed_Functions  Executed       Lines      Missed_Lines     Lines_Cover    Branches   Missed_Branches     Branches_Cover
lib/Backend/InliningDecider.cpp                                            1127               934    17.13%          21                 9    57.14%         689               565    18.00%         582               449    22.85%
lib/Backend/InliningDecider.h                                                18                11    38.89%           8                 2    75.00%          21                 9    57.14%          10                 9    10.00%
lib/Backend/InliningHeuristics.cpp                                          145               112    22.76%           5                 1    80.00%         125                89    28.80%          72                65     9.72%
lib/Backend/InliningHeuristics.h                                             10                 9    10.00%           2                 1    50.00%           6                 5    16.67%           8                 8     0.00%
lib/Backend/IntBounds.cpp                                                  1138               835    26.63%          50                23    54.00%         566               323    42.93%         444               329    25.90%
lib/Backend/IntBounds.h                                                       1                 1     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
lib/Backend/IntConstMath.cpp                                                 52                52     0.00%           9                 9     0.00%          50                50     0.00%          44                44     0.00%
lib/Backend/IntConstantBounds.h                                              35                16    54.29%          11                 2    81.82%          44                14    68.18%          12                 8    33.33%
lib/Backend/IntOverflowDoesNotMatterRange.h                                  87                87     0.00%           9                 9     0.00%          30                30     0.00%          16                16     0.00%
lib/Backend/InterpreterThunkEmitter.cpp                                     359               272    24.23%          22                12    45.45%         264               102    61.36%         104                82    21.15%
lib/Backend/InterpreterThunkEmitter.h                                        41                26    36.59%           6                 2    66.67%          11                 4    63.64%           8                 6    25.00%
lib/Backend/JITOutput.cpp                                                   119                79    33.61%          28                15    46.43%         128                55    57.03%          26                18    30.77%
lib/Backend/JITRecyclableObject.h                                            68                63     7.35%          10                 7    30.00%          42                31    26.19%          14                13     7.14%
lib/Backend/JITTimeConstructorCache.cpp                                     144               143     0.69%          18                17     5.56%          86                83     3.49%          28                28     0.00%
lib/Backend/JITTimeFunctionBody.cpp                                        1187               924    22.16%         123                67    45.53%         753               390    48.21%         310               250    19.35%
lib/Backend/JITTimeFunctionBody.h                                            92                92     0.00%           2                 2     0.00%          32                32     0.00%          20                20     0.00%
lib/Backend/JITTimePolymorphicInlineCache.cpp                                 6                 6     0.00%           4                 4     0.00%          12                12     0.00%           0                 0         -
lib/Backend/JITTimePolymorphicInlineCacheInfo.cpp                            91                79    13.19%           6                 3    50.00%          67                46    31.34%          26                23    11.54%
lib/Backend/JITTimeProfileInfo.cpp                                          601               357    40.60%          63                26    58.73%         422               125    70.38%         192               121    36.98%
lib/Backend/JITTimeWorkItem.cpp                                             257               184    28.40%          20                 3    85.00%         112                33    70.54%          74                58    21.62%
lib/Backend/JITType.cpp                                                      60                47    21.67%          20                 9    55.00%          88                40    54.55%          28                26     7.14%
lib/Backend/JITType.h                                                         2                 1    50.00%           2                 1    50.00%           2                 1    50.00%           0                 0         -
lib/Backend/JITTypeHandler.cpp                                               54                53     1.85%           9                 8    11.11%          39                36     7.69%          18                18     0.00%
lib/Backend/JavascriptNativeOperators.cpp                                   446               446     0.00%          27                27     0.00%         327               327     0.00%         152               152     0.00%
lib/Backend/JavascriptNativeOperators.h                                      77                77     0.00%           9                 9     0.00%          73                73     0.00%          24                24     0.00%
lib/Backend/JitTransferData.cpp                                              82                48    41.46%           5                 1    80.00%          88                44    50.00%          40                25    37.50%
lib/Backend/JitTransferData.h                                                19                 7    63.16%          13                 3    76.92%          27                 6    77.78%           4                 3    25.00%
lib/Backend/JnHelperMethod.cpp                                             8197              4978    39.27%          11                 5    54.55%         223               186    16.59%        1714              1294    24.50%
lib/Backend/Lifetime.h                                                      184               113    38.59%           7                 1    85.71%          82                27    67.07%          56                35    37.50%
lib/Backend/LinearScan.cpp                                                 6660              4676    29.79%         114                34    70.18%        3796              1894    50.11%        2506              1738    30.65%
lib/Backend/LinearScan.h                                                      5                 1    80.00%           5                 1    80.00%           7                 1    85.71%           0                 0         -
lib/Backend/LinearScanMDShared.h                                              1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
lib/Backend/Lower.cpp                                                     27565             24714    10.34%         533               417    21.76%       19526             16484    15.58%       11116              9649    13.20%
lib/Backend/Lower.h                                                          17                12    29.41%          10                 6    40.00%          35                11    68.57%           8                 8     0.00%
lib/Backend/LowerMDShared.cpp                                              8221              7290    11.32%         170               120    29.41%        5086              4231    16.81%        3232              2770    14.29%
lib/Backend/LowerMDShared.h                                                  18                14    22.22%          18                14    22.22%          25                20    20.00%           0                 0         -
