Filename                                                                Regions    Missed_Regions     Regions_Cover   Functions  Missed_Functions  Executed       Lines      Missed_Lines     Lines_Cover    Branches   Missed_Branches     Branches_Cover
lib/Backend/JitTransferData.h                                                19                 3    84.21%          13                 2    84.62%          27                 5    81.48%           4                 1    75.00%
lib/Backend/JnHelperMethod.cpp                                             8197              4967    39.40%          11                 4    63.64%         223               165    26.01%        1714              1284    25.09%
lib/Backend/Lifetime.h                                                      184                95    48.37%           7                 0   100.00%          82                 4    95.12%          56                24    57.14%
lib/Backend/LinearScan.cpp                                                 6660              3539    46.86%         114                 9    92.11%        3796               730    80.77%        2506              1153    53.99%
lib/Backend/LinearScan.h                                                      5                 0   100.00%           5                 0   100.00%           7                 0   100.00%           0                 0         -
lib/Backend/LinearScanMDShared.h                                              1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
lib/Backend/Lower.cpp                                                     27565             17501    36.51%         533               122    77.11%       19526              6441    67.01%       11116              6276    43.54%
lib/Backend/Lower.h                                                          17                 4    76.47%          10                 1    90.00%          35                 3    91.43%           8                 6    25.00%
lib/Backend/LowerMDShared.cpp                                              8221              5731    30.29%         170                50    70.59%        5086              2091    58.89%        3232              2019    37.53%
lib/Backend/LowerMDShared.h                                                  18                 3    83.33%          18                 3    83.33%          25                 3    88.00%           0                 0         -
lib/Backend/LowerMDSharedSimd128.cpp                                       9537              7379    22.63%          52                51     1.92%        2398              2251     6.13%        2730              2586     5.27%
lib/Backend/NativeCodeData.cpp                                              328               282    14.02%          15                 7    53.33%         228               154    32.46%          94                82    12.77%
lib/Backend/NativeCodeData.h                                                 67                56    16.42%          16                 8    50.00%          79                50    36.71%          20                17    15.00%
lib/Backend/NativeCodeGenerator.cpp                                        3818              2317    39.31%          79                26    67.09%        2794              1185    57.59%        1566               982    37.29%
lib/Backend/NativeCodeGenerator.h                                           116                75    35.34%          19                 8    57.89%          87                41    52.87%          32                23    28.12%
lib/Backend/NativeEntryPointData.cpp                                        990               724    26.87%          45                19    57.78%         376               117    68.88%         256               178    30.47%
lib/Backend/NativeEntryPointData.h                                           22                 6    72.73%          19                 3    84.21%          19                 3    84.21%           2                 2     0.00%
lib/Backend/ObjTypeSpecFldInfo.cpp                                         1601               900    43.79%          56                12    78.57%         901               275    69.48%         608               349    42.60%
lib/Backend/ObjTypeSpecFldInfo.h                                             76                31    59.21%          13                 3    76.92%         102                22    78.43%          32                12    62.50%
lib/Backend/Opnd.cpp                                                       3591              2645    26.34%         183                68    62.84%        2560              1545    39.65%        1464              1082    26.09%
lib/Backend/Opnd.h                                                         1531               894    41.61%         200                47    76.50%         640               162    74.69%         488               259    46.93%
lib/Backend/Opnd.inl                                                        477               326    31.66%          64                20    68.75%         249                83    66.67%         122                79    35.25%
lib/Backend/PDataManager.cpp                                                  4                 0   100.00%           2                 0   100.00%           7                 0   100.00%           0                 0         -
lib/Backend/Peeps.cpp                                                      1033               464    55.08%          15                 2    86.67%         892               226    74.66%         632               261    58.70%
lib/Backend/Peeps.h                                                           1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
lib/Backend/PreLowerPeeps.cpp                                               445               349    21.57%           5                 0   100.00%         331               236    28.70%         212               166    21.70%
lib/Backend/PrologEncoder.cpp                                               101                66    34.65%           7                 0   100.00%          72                 9    87.50%          30                16    46.67%
lib/Backend/PrologEncoder.h                                                   6                 1    83.33%           6                 1    83.33%           6                 1    83.33%           0                 0         -
lib/Backend/QueuedFullJitWorkItem.cpp                                        19                13    31.58%           2                 1    50.00%           6                 3    50.00%           4                 3    25.00%
lib/Backend/Region.cpp                                                      117                71    39.32%           5                 2    60.00%          75                22    70.67%          48                30    37.50%
lib/Backend/Region.h                                                         27                 2    92.59%          19                 2    89.47%          32                 2    93.75%           8                 0   100.00%
lib/Backend/SccLiveness.cpp                                                1037               470    54.68%          21                 3    85.71%         697               112    83.93%         454               171    62.33%
lib/Backend/SccLiveness.h                                                     7                 0   100.00%           2                 0   100.00%           4                 0   100.00%           0                 0         -
lib/Backend/Security.cpp                                                    471               238    49.47%          13                 0   100.00%         444               128    71.17%         248               110    55.65%
lib/Backend/Security.h                                                       10                 0   100.00%           3                 0   100.00%          16                 0   100.00%           8                 0   100.00%
lib/Backend/SimpleJitProfilingHelpers.cpp                                   248               137    44.76%          28                16    42.86%         184                49    73.37%          56                25    55.36%
lib/Backend/SimpleLayout.cpp                                                 70                 2    97.14%           2                 0   100.00%         110                 3    97.27%          50                 6    88.00%
lib/Backend/SimpleLayout.h                                                    1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
lib/Backend/SwitchIRBuilder.cpp                                             638               556    12.85%          28                22    21.43%         546               484    11.36%         270               235    12.96%
lib/Backend/SwitchIRBuilder.h                                                 3                 0   100.00%           3                 0   100.00%           3                 0   100.00%           0                 0         -
lib/Backend/Sym.cpp                                                        1872              1389    25.80%          59                15    74.58%         848               407    52.00%         598               462    22.74%
lib/Backend/Sym.h                                                           151                84    44.37%          51                22    56.86%          51                22    56.86%          32                17    46.88%
lib/Backend/Sym.inl                                                          97                60    38.14%           9                 0   100.00%          35                 0   100.00%          22                15    31.82%
lib/Backend/SymTable.cpp                                                    231               117    49.35%          14                 1    92.86%         130                10    92.31%          66                30    54.55%
lib/Backend/SymTable.h                                                        4                 1    75.00%           4                 1    75.00%           5                 1    80.00%           0                 0         -
lib/Backend/TempTracker.cpp                                                1470              1012    31.16%          59                21    64.41%        1239               622    49.80%         770               465    39.61%
lib/Backend/TempTracker.h                                                    56                46    17.86%          19                 9    52.63%          19                 9    52.63%           4                 4     0.00%
lib/Backend/ValueInfo.cpp                                                  1072               562    47.57%          49                 6    87.76%         574               136    76.31%         458               192    58.08%
lib/Backend/ValueInfo.h                                                     468               251    46.37%          65                18    72.31%         198                43    78.28%         108                60    44.44%
lib/Backend/ValueRelativeOffset.cpp                                         314               194    38.22%          13                 0   100.00%          58                 1    98.28%          76                50    34.21%
lib/Backend/ValueRelativeOffset.h                                             1                 0   100.00%           1                 0   100.00%           3                 0   100.00%           0                 0         -
lib/Backend/amd64/EncoderMD.cpp                                            2625              1629    37.94%          39                 1    97.44%        1395               385    72.40%        1148               611    46.78%
lib/Backend/amd64/EncoderMD.h                                               247               138    44.13%          20                 1    95.00%          90                13    85.56%          78                43    44.87%
lib/Backend/amd64/LinearScanMD.cpp                                          458               238    48.03%          13                 0   100.00%         327                83    74.62%         190                94    50.53%
lib/Backend/amd64/LinearScanMD.h                                              5                 0   100.00%           5                 0   100.00%           7                 0   100.00%           0                 0         -
lib/Backend/amd64/LowererMDArch.cpp                                        2422              1457    39.84%          74                21    71.62%        2153               708    67.12%        1102               562    49.00%
lib/Backend/amd64/LowererMDArch.h                                            34                13    61.76%           9                 1    88.89%          27                 1    96.30%          10                 4    60.00%
lib/Backend/amd64/PeepsMD.cpp                                               269                35    86.99%           3                 0   100.00%          89                 3    96.63%          64                17    73.44%
lib/Backend/amd64/PeepsMD.h                                                   1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
lib/Backend/amd64/PrologEncoderMD.cpp                                       419               346    17.42%           6                 3    50.00%          70                39    44.29%         120                94    21.67%
lib/Common/BackendApi.h                                                       8                 2    75.00%           5                 2    60.00%          16                 2    87.50%           2                 0   100.00%
lib/Common/Codex/Utf8Codex.cpp                                              242                78    67.77%          20                 6    70.00%         370               128    65.41%         190                89    53.16%
lib/Common/Codex/Utf8Codex.h                                                 82                25    69.51%          23                10    56.52%         158                54    65.82%          34                13    61.76%
lib/Common/Codex/Utf8Helper.h                                               168                68    59.52%          23                 3    86.96%         186                41    77.96%          54                19    64.81%
lib/Common/Common/DateUtilities.cpp                                         131                64    51.15%           9                 3    66.67%         148                46    68.92%          68                36    47.06%
lib/Common/Common/Event.cpp                                                  17                15    11.76%           2                 1    50.00%          10                 7    30.00%           8                 7    12.50%
lib/Common/Common/Event.h                                                     6                 2    66.67%           6                 2    66.67%          17                 5    70.59%           0                 0         -
lib/Common/Common/Int32Math.cpp                                               6                 2    66.67%           6                 2    66.67%          30                 9    70.00%           0                 0         -
lib/Common/Common/Int32Math.h                                                 2                 0   100.00%           2                 0   100.00%           6                 0   100.00%           0                 0         -
lib/Common/Common/Int64Math.cpp                                               4                 3    25.00%           4                 3    25.00%          17                13    23.53%           0                 0         -
lib/Common/Common/IntMathCommon.h                                            81                40    50.62%          10                 0   100.00%          54                 6    88.89%          26                15    42.31%
lib/Common/Common/Jobs.cpp                                                 1687              1232    26.97%          88                35    60.23%        1017               448    55.95%         492               376    23.58%
lib/Common/Common/Jobs.h                                                     17                 6    64.71%           6                 1    83.33%          22                 8    63.64%           8                 4    50.00%
lib/Common/Common/Jobs.inl                                                 1095               960    12.33%          12                 8    33.33%         348               263    24.43%         332               299     9.94%
lib/Common/Common/MathUtil.cpp                                                7                 2    71.43%           3                 2    33.33%          23                13    43.48%           0                 0         -
lib/Common/Common/MathUtil.h                                                 70                30    57.14%          20                 3    85.00%          75                14    81.33%          20                 9    55.00%
lib/Common/Common/NumberUtilities.cpp                                       679               319    53.02%          17                 1    94.12%         516               151    70.74%         328               176    46.34%
lib/Common/Common/NumberUtilities.h                                          78                55    29.49%           5                 3    40.00%          76                43    43.42%          42                33    21.43%
lib/Common/Common/NumberUtilities.inl                                        14                 4    71.43%          12                 4    66.67%          54                16    70.37%           4                 0   100.00%
lib/Common/Common/NumberUtilities_strtod.cpp                               3984              2246    43.62%          30                 2    93.33%        1917               384    79.97%        1588               803    49.43%
lib/Common/Common/ObservableValue.h                                           8                 0   100.00%           4                 0   100.00%          15                 0   100.00%           4                 1    75.00%
lib/Common/Common/RejitReason.cpp                                            19                19     0.00%           1                 1     0.00%           5                 5     0.00%           4                 4     0.00%
lib/Common/Common/SmartFpuControl.cpp                                        76                52    31.58%           7                 1    85.71%          66                25    62.12%          18                13    27.78%
lib/Common/Common/SmartFpuControl.h                                          25                25     0.00%           2                 2     0.00%           7                 7     0.00%           6                 6     0.00%
lib/Common/Common/ThreadService.h                                             6                 1    83.33%           4                 1    75.00%          14                 6    57.14%           4                 2    50.00%
lib/Common/Common/Tick.cpp                                                  409               391     4.40%          45                36    20.00%         221               176    20.36%         106               104     1.89%
lib/Common/Common/Tick.h                                                      3                 0   100.00%           1                 0   100.00%           7                 0   100.00%           2                 1    50.00%
lib/Common/Common/UInt16Math.h                                               18                 4    77.78%          10                 1    90.00%          52                18    65.38%           6                 3    50.00%
lib/Common/Common/UInt32Math.h                                               35                 6    82.86%          14                 0   100.00%          76                12    84.21%          12                 4    66.67%
lib/Common/Common/vtinfo.cpp                                                 31                21    32.26%           2                 1    50.00%          19                10    47.37%           8                 6    25.00%
lib/Common/Common/vtinfo.h                                                   27                14    48.15%           9                 2    77.78%          13                 2    84.62%           4                 3    25.00%
lib/Common/Common/vtinfo.inl                                                  4                 0   100.00%           2                 0   100.00%          16                 0   100.00%           0                 0         -
lib/Common/CommonPal.h                                                       55                21    61.82%          21                 4    80.95%         149                37    75.17%          18                 9    50.00%
