Filename                                                                Regions    Missed_Regions     Regions_Cover   Functions  Missed_Functions  Executed       Lines      Missed_Lines     Lines_Cover    Branches   Missed_Branches     Branches_Cover
lib/Backend/NativeCodeData.h                                                 67                56    16.42%          16                 8    50.00%          79                50    36.71%          20                17    15.00%
lib/Backend/NativeCodeGenerator.cpp                                        3818              2349    38.48%          79                26    67.09%        2794              1153    58.73%        1566               975    37.74%
lib/Backend/NativeCodeGenerator.h                                           116                75    35.34%          19                 8    57.89%          87                41    52.87%          32                23    28.12%
lib/Backend/NativeEntryPointData.cpp                                        990               724    26.87%          45                19    57.78%         376               117    68.88%         256               178    30.47%
lib/Backend/NativeEntryPointData.h                                           22                 3    86.36%          19                 2    89.47%          19                 2    89.47%           2                 1    50.00%
lib/Backend/ObjTypeSpecFldInfo.cpp                                         1601               741    53.72%          56                 6    89.29%         901               158    82.46%         608               288    52.63%
lib/Backend/ObjTypeSpecFldInfo.h                                             76                31    59.21%          13                 3    76.92%         102                22    78.43%          32                12    62.50%
lib/Backend/Opnd.cpp                                                       3591              2625    26.90%         183                67    63.39%        2560              1529    40.27%        1464              1063    27.39%
lib/Backend/Opnd.h                                                         1531               838    45.26%         200                39    80.50%         640               128    80.00%         488               245    49.80%
lib/Backend/Opnd.inl                                                        477               326    31.66%          64                20    68.75%         249                83    66.67%         122                77    36.89%
lib/Backend/PDataManager.cpp                                                  4                 0   100.00%           2                 0   100.00%           7                 0   100.00%           0                 0         -
lib/Backend/Peeps.cpp                                                      1033               466    54.89%          15                 1    93.33%         892               212    76.23%         632               260    58.86%
lib/Backend/Peeps.h                                                           1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
lib/Backend/PreLowerPeeps.cpp                                               445               290    34.83%           5                 0   100.00%         331               182    45.02%         212               133    37.26%
lib/Backend/PrologEncoder.cpp                                               101                66    34.65%           7                 0   100.00%          72                 9    87.50%          30                16    46.67%
lib/Backend/PrologEncoder.h                                                   6                 1    83.33%           6                 1    83.33%           6                 1    83.33%           0                 0         -
lib/Backend/QueuedFullJitWorkItem.cpp                                        19                13    31.58%           2                 1    50.00%           6                 3    50.00%           4                 3    25.00%
lib/Backend/Region.cpp                                                      117                43    63.25%           5                 1    80.00%          75                14    81.33%          48                20    58.33%
lib/Backend/Region.h                                                         27                 2    92.59%          19                 2    89.47%          32                 2    93.75%           8                 0   100.00%
lib/Backend/SccLiveness.cpp                                                1037               470    54.68%          21                 3    85.71%         697               112    83.93%         454               169    62.78%
lib/Backend/SccLiveness.h                                                     7                 0   100.00%           2                 0   100.00%           4                 0   100.00%           0                 0         -
lib/Backend/Security.cpp                                                    471               229    51.38%          13                 0   100.00%         444               115    74.10%         248               105    57.66%
lib/Backend/Security.h                                                       10                 0   100.00%           3                 0   100.00%          16                 0   100.00%           8                 0   100.00%
lib/Backend/SimpleJitProfilingHelpers.cpp                                   248               136    45.16%          28                16    42.86%         184                49    73.37%          56                25    55.36%
lib/Backend/SimpleLayout.cpp                                                 70                 2    97.14%           2                 0   100.00%         110                 3    97.27%          50                 6    88.00%
lib/Backend/SimpleLayout.h                                                    1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
lib/Backend/SwitchIRBuilder.cpp                                             638               338    47.02%          28                 5    82.14%         546               150    72.53%         270               140    48.15%
lib/Backend/SwitchIRBuilder.h                                                 3                 1    66.67%           3                 1    66.67%           3                 1    66.67%           0                 0         -
lib/Backend/Sym.cpp                                                        1872              1380    26.28%          59                13    77.97%         848               396    53.30%         598               459    23.24%
lib/Backend/Sym.h                                                           151                83    45.03%          51                22    56.86%          51                22    56.86%          32                16    50.00%
lib/Backend/Sym.inl                                                          97                60    38.14%           9                 0   100.00%          35                 0   100.00%          22                15    31.82%
lib/Backend/SymTable.cpp                                                    231               117    49.35%          14                 1    92.86%         130                10    92.31%          66                30    54.55%
lib/Backend/SymTable.h                                                        4                 1    75.00%           4                 1    75.00%           5                 1    80.00%           0                 0         -
lib/Backend/TempTracker.cpp                                                1470              1021    30.54%          59                21    64.41%        1239               637    48.59%         770               467    39.35%
lib/Backend/TempTracker.h                                                    56                45    19.64%          19                 8    57.89%          19                 8    57.89%           4                 4     0.00%
lib/Backend/ValueInfo.cpp                                                  1072               562    47.57%          49                 6    87.76%         574               138    75.96%         458               189    58.73%
lib/Backend/ValueInfo.h                                                     468               249    46.79%          65                18    72.31%         198                43    78.28%         108                54    50.00%
lib/Backend/ValueRelativeOffset.cpp                                         314               194    38.22%          13                 0   100.00%          58                 1    98.28%          76                50    34.21%
lib/Backend/ValueRelativeOffset.h                                             1                 0   100.00%           1                 0   100.00%           3                 0   100.00%           0                 0         -
lib/Backend/amd64/EncoderMD.cpp                                            2625              1596    39.20%          39                 1    97.44%        1395               366    73.76%        1148               585    49.04%
lib/Backend/amd64/EncoderMD.h                                               247               138    44.13%          20                 1    95.00%          90                13    85.56%          78                43    44.87%
lib/Backend/amd64/LinearScanMD.cpp                                          458               238    48.03%          13                 0   100.00%         327                83    74.62%         190                92    51.58%
