Filename                                                                Regions    Missed_Regions     Regions_Cover   Functions  Missed_Functions  Executed       Lines      Missed_Lines     Lines_Cover    Branches   Missed_Branches     Branches_Cover
lib/Backend/NativeCodeData.cpp                                              328               282    14.02%          15                 7    53.33%         228               154    32.46%          94                82    12.77%
lib/Backend/NativeCodeData.h                                                 67                56    16.42%          16                 8    50.00%          79                50    36.71%          20                17    15.00%
lib/Backend/NativeCodeGenerator.cpp                                        3818              2372    37.87%          79                28    64.56%        2794              1192    57.34%        1566               990    36.78%
lib/Backend/NativeCodeGenerator.h                                           116                75    35.34%          19                 8    57.89%          87                41    52.87%          32                23    28.12%
lib/Backend/NativeEntryPointData.cpp                                        990               725    26.77%          45                19    57.78%         376               122    67.55%         256               180    29.69%
lib/Backend/NativeEntryPointData.h                                           22                 6    72.73%          19                 3    84.21%          19                 3    84.21%           2                 2     0.00%
lib/Backend/ObjTypeSpecFldInfo.cpp                                         1601               849    46.97%          56                12    78.57%         901               224    75.14%         608               316    48.03%
lib/Backend/ObjTypeSpecFldInfo.h                                             76                33    56.58%          13                 3    76.92%         102                22    78.43%          32                15    53.12%
lib/Backend/Opnd.cpp                                                       3591              2607    27.40%         183                65    64.48%        2560              1505    41.21%        1464              1060    27.60%
lib/Backend/Opnd.h                                                         1531               887    42.06%         200                46    77.00%         640               158    75.31%         488               253    48.16%
lib/Backend/Opnd.inl                                                        477               326    31.66%          64                20    68.75%         249                83    66.67%         122                77    36.89%
lib/Backend/PDataManager.cpp                                                  4                 0   100.00%           2                 0   100.00%           7                 0   100.00%           0                 0         -
lib/Backend/Peeps.cpp                                                      1033               428    58.57%          15                 1    93.33%         892               157    82.40%         632               213    66.30%
lib/Backend/Peeps.h                                                           1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
lib/Backend/PreLowerPeeps.cpp                                               445               304    31.69%           5                 0   100.00%         331               187    43.50%         212               140    33.96%
lib/Backend/PrologEncoder.cpp                                               101                66    34.65%           7                 0   100.00%          72                 9    87.50%          30                16    46.67%
lib/Backend/PrologEncoder.h                                                   6                 1    83.33%           6                 1    83.33%           6                 1    83.33%           0                 0         -
lib/Backend/QueuedFullJitWorkItem.cpp                                        19                12    36.84%           2                 0   100.00%           6                 0   100.00%           4                 3    25.00%
lib/Backend/Region.cpp                                                      117                40    65.81%           5                 0   100.00%          75                 6    92.00%          48                18    62.50%
lib/Backend/Region.h                                                         27                 2    92.59%          19                 2    89.47%          32                 2    93.75%           8                 0   100.00%
lib/Backend/SccLiveness.cpp                                                1037               460    55.64%          21                 3    85.71%         697               103    85.22%         454               161    64.54%
lib/Backend/SccLiveness.h                                                     7                 0   100.00%           2                 0   100.00%           4                 0   100.00%           0                 0         -
lib/Backend/Security.cpp                                                    471               229    51.38%          13                 0   100.00%         444               115    74.10%         248               104    58.06%
lib/Backend/Security.h                                                       10                 0   100.00%           3                 0   100.00%          16                 0   100.00%           8                 0   100.00%
