Filename                                                                Regions    Missed_Regions     Regions_Cover   Functions  Missed_Functions  Executed       Lines      Missed_Lines     Lines_Cover    Branches   Missed_Branches     Branches_Cover
lib/Backend/IRBuilderAsmJs.cpp                                            10315             10315     0.00%         299               299     0.00%        4833              4833     0.00%        3720              3720     0.00%
lib/Backend/IRBuilderAsmJs.h                                                188               188     0.00%          23                23     0.00%          58                58     0.00%          44                44     0.00%
lib/Backend/IRType.cpp                                                       80                64    20.00%          12                 4    66.67%          48                32    33.33%          32                17    46.88%
lib/Backend/InductionVariable.cpp                                           347               260    25.07%          13                 3    76.92%         134                82    38.81%         136               116    14.71%
lib/Backend/InductionVariable.h                                               1                 0   100.00%           1                 0   100.00%           3                 0   100.00%           0                 0         -
lib/Backend/Inline.cpp                                                     5696              4243    25.51%          90                42    53.33%        4658              2920    37.31%        2558              1832    28.38%
lib/Backend/Inline.h                                                          6                 2    66.67%           4                 2    50.00%           4                 2    50.00%           4                 0   100.00%
lib/Backend/InlineeFrameInfo.cpp                                            454               356    21.59%          19                11    42.11%         390               265    32.05%         194               159    18.04%
lib/Backend/InlineeFrameInfo.h                                              108                51    52.78%          13                 3    76.92%          62                16    74.19%          24                15    37.50%
lib/Backend/InliningDecider.cpp                                            1127               615    45.43%          21                 0   100.00%         689               273    60.38%         582               320    45.02%
lib/Backend/InliningDecider.h                                                18                 3    83.33%           8                 1    87.50%          21                 4    80.95%          10                 3    70.00%
lib/Backend/InliningHeuristics.cpp                                          145                63    56.55%           5                 0   100.00%         125                51    59.20%          72                44    38.89%
lib/Backend/InliningHeuristics.h                                             10                 1    90.00%           2                 0   100.00%           6                 0   100.00%           8                 4    50.00%
lib/Backend/IntBounds.cpp                                                  1138               601    47.19%          50                 3    94.00%         566                96    83.04%         444               229    48.42%
lib/Backend/IntBounds.h                                                       1                 0   100.00%           1                 0   100.00%           3                 0   100.00%           0                 0         -
lib/Backend/IntConstMath.cpp                                                 52                35    32.69%           9                 4    55.56%          50                24    52.00%          44                31    29.55%
lib/Backend/IntConstantBounds.h                                              35                14    60.00%          11                 2    81.82%          44                11    75.00%          12                 5    58.33%
lib/Backend/IntOverflowDoesNotMatterRange.h                                  87                48    44.83%           9                 0   100.00%          30                 0   100.00%          16                12    25.00%
lib/Backend/InterpreterThunkEmitter.cpp                                     359               265    26.18%          22                11    50.00%         264                97    63.26%         104                81    22.12%
lib/Backend/InterpreterThunkEmitter.h                                        41                26    36.59%           6                 2    66.67%          11                 4    63.64%           8                 6    25.00%
lib/Backend/JITOutput.cpp                                                   119                60    49.58%          28                10    64.29%         128                38    70.31%          26                16    38.46%
lib/Backend/JITRecyclableObject.h                                            68                41    39.71%          10                 4    60.00%          42                19    54.76%          14                10    28.57%
lib/Backend/JITTimeConstructorCache.cpp                                     144                94    34.72%          18                 3    83.33%          86                15    82.56%          28                22    21.43%
lib/Backend/JITTimeFunctionBody.cpp                                        1187               806    32.10%         123                40    67.48%         753               251    66.67%         310               220    29.03%
lib/Backend/JITTimeFunctionBody.h                                            92                92     0.00%           2                 2     0.00%          32                32     0.00%          20                20     0.00%
lib/Backend/JITTimePolymorphicInlineCache.cpp                                 6                 3    50.00%           4                 1    75.00%          12                 3    75.00%           0                 0         -
