Filename                                                                Regions    Missed_Regions     Regions_Cover   Functions  Missed_Functions  Executed       Lines      Missed_Lines     Lines_Cover    Branches   Missed_Branches     Branches_Cover
lib/Backend/Security.h                                                       10                10     0.00%           3                 3     0.00%          16                16     0.00%           8                 8     0.00%
lib/Backend/SimpleJitProfilingHelpers.cpp                                   248               248     0.00%          28                28     0.00%         184               184     0.00%          56                56     0.00%
lib/Backend/SimpleLayout.cpp                                                 70                70     0.00%           2                 2     0.00%         110               110     0.00%          50                50     0.00%
lib/Backend/SimpleLayout.h                                                    1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
lib/Backend/SwitchIRBuilder.cpp                                             638               638     0.00%          28                28     0.00%         546               546     0.00%         270               270     0.00%
lib/Backend/SwitchIRBuilder.h                                                 3                 3     0.00%           3                 3     0.00%           3                 3     0.00%           0                 0         -
lib/Backend/Sym.cpp                                                        1872              1872     0.00%          59                59     0.00%         848               848     0.00%         598               598     0.00%
lib/Backend/Sym.h                                                           151               151     0.00%          51                51     0.00%          51                51     0.00%          32                32     0.00%
lib/Backend/Sym.inl                                                          97                97     0.00%           9                 9     0.00%          35                35     0.00%          22                22     0.00%
lib/Backend/SymTable.cpp                                                    231               231     0.00%          14                14     0.00%         130               130     0.00%          66                66     0.00%
lib/Backend/SymTable.h                                                        4                 4     0.00%           4                 4     0.00%           5                 5     0.00%           0                 0         -
lib/Backend/TempTracker.cpp                                                1470              1470     0.00%          59                59     0.00%        1239              1239     0.00%         770               770     0.00%
lib/Backend/TempTracker.h                                                    56                56     0.00%          19                19     0.00%          19                19     0.00%           4                 4     0.00%
lib/Backend/ValueInfo.cpp                                                  1072              1072     0.00%          49                49     0.00%         574               574     0.00%         458               458     0.00%
lib/Backend/ValueInfo.h                                                     468               468     0.00%          65                65     0.00%         198               198     0.00%         108               108     0.00%
lib/Backend/ValueRelativeOffset.cpp                                         314               314     0.00%          13                13     0.00%          58                58     0.00%          76                76     0.00%
lib/Backend/ValueRelativeOffset.h                                             1                 1     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
lib/Backend/amd64/EncoderMD.cpp                                            2625              2625     0.00%          39                39     0.00%        1395              1395     0.00%        1148              1148     0.00%
lib/Backend/amd64/EncoderMD.h                                               247               247     0.00%          20                20     0.00%          90                90     0.00%          78                78     0.00%
lib/Backend/amd64/LinearScanMD.cpp                                          458               458     0.00%          13                13     0.00%         327               327     0.00%         190               190     0.00%
lib/Backend/amd64/LinearScanMD.h                                              5                 4    20.00%           5                 4    20.00%           7                 4    42.86%           0                 0         -
lib/Backend/amd64/LowererMDArch.cpp                                        2422              2419     0.12%          74                71     4.05%        2153              2144     0.42%        1102              1102     0.00%
lib/Backend/amd64/LowererMDArch.h                                            34                34     0.00%           9                 9     0.00%          27                27     0.00%          10                10     0.00%
lib/Backend/amd64/PeepsMD.cpp                                               269               269     0.00%           3                 3     0.00%          89                89     0.00%          64                64     0.00%
lib/Backend/amd64/PeepsMD.h                                                   1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
lib/Backend/amd64/PrologEncoderMD.cpp                                       419               419     0.00%           6                 6     0.00%          70                70     0.00%         120               120     0.00%
lib/Common/BackendApi.h                                                       8                 8     0.00%           5                 5     0.00%          16                16     0.00%           2                 2     0.00%
lib/Common/Codex/Utf8Codex.cpp                                              242               218     9.92%          20                15    25.00%         370               321    13.24%         190               179     5.79%
lib/Common/Codex/Utf8Codex.h                                                 82                71    13.41%          23                17    26.09%         158               139    12.03%          34                32     5.88%
lib/Common/Codex/Utf8Helper.h                                               168                81    51.79%          23                 5    78.26%         186                70    62.37%          54                27    50.00%
lib/Common/Common/DateUtilities.cpp                                         131               131     0.00%           9                 9     0.00%         148               148     0.00%          68                68     0.00%
lib/Common/Common/Event.cpp                                                  17                15    11.76%           2                 1    50.00%          10                 7    30.00%           8                 7    12.50%
lib/Common/Common/Event.h                                                     6                 2    66.67%           6                 2    66.67%          17                 5    70.59%           0                 0         -
lib/Common/Common/Int32Math.cpp                                               6                 3    50.00%           6                 3    50.00%          30                18    40.00%           0                 0         -
lib/Common/Common/Int32Math.h                                                 2                 1    50.00%           2                 1    50.00%           6                 3    50.00%           0                 0         -
lib/Common/Common/Int64Math.cpp                                               4                 4     0.00%           4                 4     0.00%          17                17     0.00%           0                 0         -
lib/Common/Common/IntMathCommon.h                                            81                79     2.47%          10                 8    20.00%          54                47    12.96%          26                26     0.00%
lib/Common/Common/Jobs.cpp                                                 1687              1423    15.65%          88                50    43.18%        1017               656    35.50%         492               427    13.21%
lib/Common/Common/Jobs.h                                                     17                 9    47.06%           6                 3    50.00%          22                13    40.91%           8                 5    37.50%
lib/Common/Common/Jobs.inl                                                 1095              1001     8.58%          12                 8    33.33%         348               288    17.24%         332               309     6.93%
lib/Common/Common/MathUtil.cpp                                                7                 7     0.00%           3                 3     0.00%          23                23     0.00%           0                 0         -
lib/Common/Common/MathUtil.h                                                 70                51    27.14%          20                10    50.00%          75                40    46.67%          20                13    35.00%
lib/Common/Common/NumberUtilities.cpp                                       679               629     7.36%          17                13    23.53%         516               469     9.11%         328               310     5.49%
lib/Common/Common/NumberUtilities.h                                          78                78     0.00%           5                 5     0.00%          76                76     0.00%          42                42     0.00%
lib/Common/Common/NumberUtilities.inl                                        14                 8    42.86%          12                 8    33.33%          54                35    35.19%           4                 0   100.00%
lib/Common/Common/NumberUtilities_strtod.cpp                               3984              3754     5.77%          30                24    20.00%        1917              1695    11.58%        1588              1505     5.23%
lib/Common/Common/ObservableValue.h                                           8                 0   100.00%           4                 0   100.00%          15                 0   100.00%           4                 2    50.00%
lib/Common/Common/RejitReason.cpp                                            19                19     0.00%           1                 1     0.00%           5                 5     0.00%           4                 4     0.00%
lib/Common/Common/SmartFpuControl.cpp                                        76                52    31.58%           7                 1    85.71%          66                25    62.12%          18                13    27.78%
lib/Common/Common/SmartFpuControl.h                                          25                25     0.00%           2                 2     0.00%           7                 7     0.00%           6                 6     0.00%
lib/Common/Common/ThreadService.h                                             6                 1    83.33%           4                 1    75.00%          14                 6    57.14%           4                 2    50.00%
lib/Common/Common/Tick.cpp                                                  409               372     9.05%          45                38    15.56%         221               177    19.91%         106               101     4.72%
lib/Common/Common/Tick.h                                                      3                 0   100.00%           1                 0   100.00%           7                 0   100.00%           2                 1    50.00%
lib/Common/Common/UInt16Math.h                                               18                10    44.44%          10                 4    60.00%          52                29    44.23%           6                 4    33.33%
lib/Common/Common/UInt32Math.h                                               35                14    60.00%          14                 4    71.43%          76                36    52.63%          12                 7    41.67%
lib/Common/Common/vtinfo.cpp                                                 31                21    32.26%           2                 1    50.00%          19                10    47.37%           8                 6    25.00%
lib/Common/Common/vtinfo.h                                                   27                15    44.44%           9                 3    66.67%          13                 3    76.92%           4                 3    25.00%
lib/Common/Common/vtinfo.inl                                                  4                 1    75.00%           2                 1    50.00%          16                 6    62.50%           0                 0         -
lib/Common/CommonPal.h                                                       55                35    36.36%          21                13    38.10%         149                91    38.93%          18                13    27.78%
